iter	Logloss
0	0.6077444389
1	0.5288789704
2	0.4748551006
3	0.4337898503
4	0.4039801316
5	0.3768864143
6	0.3580709968
7	0.3395248709
8	0.3262254353
9	0.3130196207
10	0.3038898389
11	0.2936513848
12	0.2840423563
13	0.2767672057
14	0.270641236
15	0.2644872985
16	0.2589828695
17	0.2547272859
18	0.2513590202
19	0.2466122314
20	0.2434571935
21	0.2396098472
22	0.2364415664
23	0.2328935458
24	0.230537424
25	0.2280343814
26	0.2264034252
27	0.2241348769
28	0.2209177612
29	0.2169363902
30	0.2150359101
31	0.2126392996
32	0.2113877278
33	0.207619405
34	0.2055425059
35	0.2033977338
36	0.2014198224
37	0.1989447476
38	0.1966503893
39	0.1946923897
40	0.1933290435
41	0.1918968025
42	0.1897042623
43	0.1879673101
44	0.1865032168
45	0.1840207417
46	0.1827035892
47	0.1815814565
48	0.1793760328
49	0.1774617842
50	0.1761977388
51	0.1750700715
52	0.1741229145
53	0.1723059762
54	0.1712017183
55	0.1696989125
56	0.1679379739
57	0.1662319166
58	0.1646101978
59	0.1637045922
60	0.1629522418
61	0.1612149207
62	0.1601491629
63	0.1591834964
64	0.1584011687
65	0.156651291
66	0.1553302339
67	0.1543858033
68	0.1532500451
69	0.1518680075
70	0.1512226273
71	0.1499362656
72	0.1499229375
73	0.1488946814
74	0.1475224341
75	0.1468462515
76	0.145864127
77	0.1447653817
78	0.1437910306
79	0.1431508604
80	0.1416092928
81	0.1409504175
82	0.1397916355
83	0.1384897407
84	0.137552867
85	0.1359853486
86	0.13534517
87	0.1347739712
88	0.1334188787
89	0.1323963107
90	0.1310603185
91	0.1304274771
92	0.1295832818
93	0.1288078498
94	0.1280339209
95	0.1267910915
96	0.1259428277
97	0.1249535583
98	0.1238417015
99	0.1230939147
100	0.1222385659
101	0.1207364927
102	0.1198676457
103	0.118438335
104	0.1173298709
105	0.1164231001
106	0.1157993937
107	0.1147373261
108	0.1140594661
109	0.1133128922
110	0.1125408083
111	0.1115870972
112	0.1105813072
113	0.109816354
114	0.1091329993
115	0.1085896443
116	0.1076172775
117	0.1071243612
118	0.1065575168
119	0.1059397235
120	0.1052717967
121	0.104653028
122	0.1039847902
123	0.1031722555
124	0.1023501638
125	0.1018524848
126	0.1013516049
127	0.100767067
128	0.1002393902
129	0.09948160287
130	0.09895273207
131	0.09811286438
132	0.09736852387
133	0.09695871955
134	0.0962174349
135	0.09545684238
136	0.09498391977
137	0.09469564028
138	0.09422756447
139	0.09372964899
140	0.09317929943
141	0.09253868358
142	0.09160549533
143	0.09104884277
144	0.09022776741
145	0.08965648457
146	0.08928414458
147	0.08874086001
148	0.08834446309
149	0.08794863215
150	0.08763683123
151	0.08692626228
152	0.08611419789
153	0.08568387177
154	0.08507247601
155	0.08402883864
156	0.08359397734
157	0.08322432534
158	0.08285124122
159	0.08255738972
160	0.08185974628
161	0.08139956262
162	0.08105747062
163	0.08068252093
164	0.08032060028
165	0.07995425586
166	0.07934157627
167	0.07902778734
168	0.07850901006
169	0.07793767519
170	0.07757699843
171	0.07718921466
172	0.07691620026
173	0.07633269347
174	0.07577282214
175	0.07548248211
176	0.07515351742
177	0.07481810048
178	0.07449876791
179	0.07412773959
180	0.07353351024
181	0.07279107682
182	0.07252644803
183	0.07200609368
184	0.07149434618
185	0.07122784709
186	0.07088139491
187	0.07046948906
188	0.07025793758
189	0.06985172672
190	0.06966918722
191	0.06912053191
192	0.06879985456
193	0.06850931904
194	0.06824343427
195	0.06785072803
196	0.06745146286
197	0.06715446038
198	0.06694682976
199	0.06672220037
200	0.06641477014
201	0.06613088761
202	0.0658751321
203	0.06564492702
204	0.06538630957
205	0.06520212943
206	0.06488693265
207	0.06439627135
208	0.06406405794
209	0.06376315667
210	0.06337351102
211	0.06313095587
212	0.06282260021
213	0.06255227959
214	0.06226184549
215	0.06196532753
216	0.06179766268
217	0.06152495676
218	0.0613413799
219	0.06115128879
220	0.06087093508
221	0.06073523297
222	0.06058553225
223	0.06026619442
224	0.06006027907
225	0.05991277184
226	0.05969686649
227	0.05940435451
228	0.05909366242
229	0.05889364122
230	0.05865157165
231	0.05836752358
232	0.05808039811
233	0.05775216861
234	0.0575619117
235	0.05742435663
236	0.05717829
237	0.05694442315
238	0.05660589071
239	0.05618692538
240	0.05595203825
241	0.05571205233
242	0.05547034877
243	0.05518693946
244	0.05486058814
245	0.05472539446
246	0.05459860111
247	0.05444907538
248	0.05414270143
249	0.05387324396
250	0.05376265242
251	0.05359746747
252	0.05335268808
253	0.05307997717
254	0.05281290816
255	0.0526162011
256	0.05227125136
257	0.05204176413
258	0.05179278643
259	0.05160762804
260	0.05147513629
261	0.0513316014
262	0.05108510359
263	0.05099760939
264	0.0507056852
265	0.05050517423
266	0.05033887623
267	0.05004804721
268	0.04985585747
269	0.049654976
270	0.04950145112
271	0.04938157588
272	0.04917348464
273	0.04897476934
274	0.04879119328
275	0.04865211369
276	0.04848729107
277	0.0483618651
278	0.0481543966
279	0.04784994024
280	0.0476169799
281	0.04729864738
282	0.0470578414
283	0.0468003651
284	0.04656527827
285	0.04632310832
286	0.04617000359
287	0.04599512476
288	0.04584948546
289	0.0457237447
290	0.04553792969
291	0.04542516069
292	0.04529064072
293	0.04515433032
294	0.04497613525
295	0.04486673242
296	0.04471232757
297	0.04459572233
298	0.04452040688
299	0.04436706646
300	0.04417013974
301	0.04398088893
302	0.04385737372
303	0.04376304181
304	0.04355878445
305	0.0434271146
306	0.04322491015
307	0.04300612499
308	0.04281899988
309	0.04270338943
310	0.04240629078
311	0.04226235362
312	0.04208279536
313	0.04196003321
314	0.04181153539
315	0.04168969105
316	0.04146845122
317	0.04136355098
318	0.04125452442
319	0.04110169953
320	0.04097312704
321	0.0408744925
322	0.04072225959
323	0.04046754118
324	0.04037009719
325	0.04026499122
326	0.04009681373
327	0.03997304785
328	0.03979685892
329	0.03966983065
330	0.03957369282
331	0.03941602191
332	0.03919360861
333	0.0390894031
334	0.03898722187
335	0.03879171115
336	0.03867003681
337	0.03849082513
338	0.03835727945
339	0.0382726267
340	0.03813822681
341	0.03802668777
342	0.03792179884
343	0.03776059306
344	0.037631679
345	0.03755457103
346	0.03747568946
347	0.03734659226
348	0.03720822001
349	0.0370992757
350	0.03701116717
351	0.03692757517
352	0.03671397524
353	0.03660007035
354	0.03653834046
355	0.03641700692
356	0.03629778857
357	0.03621373148
358	0.03604966166
359	0.03593992855
360	0.03584437456
361	0.03573973209
362	0.03562931897
363	0.0354353861
364	0.03532418759
365	0.03525333665
366	0.0351182126
367	0.03493748087
368	0.03482205645
369	0.03470237407
370	0.03455178287
371	0.03443648037
372	0.03433747035
373	0.03424004291
374	0.03407535666
375	0.03398741288
376	0.03390607927
377	0.0337790765
378	0.03367612539
379	0.03346833238
380	0.0333704777
381	0.03327247377
382	0.03317754146
383	0.03298476577
384	0.0329247459
385	0.03280936905
386	0.03263352643
387	0.03258312161
388	0.03250534151
389	0.03237996126
390	0.03227168434
391	0.03220783874
392	0.03213630568
393	0.03207528287
394	0.03201539334
395	0.03187856295
396	0.03182718146
397	0.03170307058
398	0.03162620593
399	0.03150106031
